Sex,Age,Married,Income,HoursWk,Race,USCitizen,HealthInsurance,Language
F,31,not married,60,40,white,citizen,yes,other
M,31,not married,0.36,12,black,citizen,yes,english
M,75,not married,0,,white,citizen,yes,english
F,80,not married,0,,white,citizen,yes,english
M,64,married,0,,white,citizen,yes,english
M,14,not married,NA,,white,citizen,yes,english
M,78,married,0,,white,citizen,yes,english
M,35,not married,87,40,white,citizen,yes,other
F,70,married,0,1,white,citizen,yes,english
F,18,not married,0,,white,citizen,yes,english
M,48,married,32,48,white,citizen,no,english
F,61,married,0,20,white,citizen,no,english
F,52,not married,48,40,white,citizen,yes,english
F,36,married,2,40,white,citizen,yes,english
F,20,not married,0.5,2,white,citizen,yes,english
M,67,not married,0,,white,citizen,yes,english
M,8,not married,NA,,white,citizen,yes,english
M,60,married,0,,white,citizen,yes,english
M,75,married,21.6,6,white,citizen,yes,english
F,25,married,0,,other,citizen,yes,english
F,48,married,22,20,white,citizen,yes,english
M,9,not married,NA,,white,citizen,yes,english
F,62,married,6.8,18,white,citizen,yes,english
F,49,not married,0,,other,citizen,no,english
M,32,not married,30,60,white,citizen,yes,english
F,21,not married,2.5,20,white,citizen,yes,english
M,21,not married,1.5,20,white,citizen,yes,english
F,39,married,0,30,white,citizen,yes,other
F,42,married,3,40,white,citizen,no,other
F,48,married,75,40,white,citizen,yes,english
M,34,not married,0,70,white,citizen,no,english
F,61,not married,19,38,white,citizen,yes,english
F,32,not married,50,50,white,citizen,yes,other
M,51,married,130,50,white,citizen,yes,english
M,80,not married,0,,white,citizen,yes,english
M,15,not married,0,,white,citizen,yes,english
F,9,not married,NA,,black,citizen,yes,english
M,12,not married,NA,,white,citizen,yes,other
M,43,married,0,10,asian,citizen,yes,english
F,53,married,0,,white,citizen,yes,english
M,64,married,0,,white,citizen,yes,english
M,37,married,47,40,white,citizen,no,other
M,3,not married,NA,,white,citizen,yes,english
M,33,not married,1.5,15,white,citizen,no,english
F,70,married,11.4,17,white,citizen,yes,english
M,27,not married,15,30,white,citizen,no,english
M,66,married,13,20,white,citizen,yes,english
F,48,not married,31,40,black,citizen,yes,english
F,2,not married,NA,,white,citizen,yes,english
F,17,not married,0,,black,citizen,yes,other
M,56,married,140,50,white,citizen,yes,english
M,35,not married,0,,white,citizen,yes,english
M,10,not married,NA,,white,citizen,yes,other
M,24,not married,0,,white,citizen,no,other
M,36,married,1,40,other,citizen,yes,other
M,73,married,0,,white,citizen,yes,english
F,54,married,0,,white,citizen,yes,english
